observation_date,delta
01/01/2004,0.04040522871362
01/02/2004,0.00243309002433
01/03/2004,0.00323624595469
01/04/2004,0.00241935483871
01/05/2004,0.00241351568785
01/06/2004,0.00160513643660
01/07/2004,0.00080128205128
01/08/2004,0.00240192153723
01/09/2004,0.00000000000000
01/10/2004,0.00000000000000
01/11/2004,0.00079872204473
01/12/2004,0.00239425379090
01/01/2005,0.00000000000000
01/02/2005,0.00318471337580
01/03/2005,0.00317460317460
01/04/2005,0.00158227848101
01/05/2005,0.00315955766193
01/06/2005,0.00000000000000
01/07/2005,0.00393700787402
01/08/2005,0.00156862745098
01/09/2005,0.00000000000000
01/10/2005,0.00234925606891
01/11/2005,0.00078125000000
01/12/2005,0.00000000000000
01/01/2006,0.00234192037471
01/02/2006,0.00233644859813
01/03/2006,0.00233100233100
01/04/2006,0.00310077519380
01/05/2006,0.00309119010819
01/06/2006,0.00077041602465
01/07/2006,0.00307929176289
01/08/2006,0.00153491941673
01/09/2006,-0.00076628352490
01/10/2006,-0.00076687116564
01/11/2006,0.00076745970837
01/12/2006,0.00076687116564
01/01/2007,0.00076628352490
01/02/2007,0.00306278713629
01/03/2007,0.00152671755725
01/04/2007,0.00152439024390
01/05/2007,0.00304414003044
01/06/2007,0.00227617602428
01/07/2007,0.00227100681302
01/08/2007,0.00151057401813
01/09/2007,0.00000000000000
01/10/2007,0.00301659125189
01/11/2007,0.00375939849624
01/12/2007,0.00299625468165
01/01/2008,0.00448095593727
01/02/2008,0.00223048327138
01/03/2008,0.00519287833828
01/04/2008,0.00221402214022
01/05/2008,0.00515463917526
01/06/2008,0.00439560439560
01/07/2008,0.00510576221736
01/08/2008,0.00145137880987
01/09/2008,-0.00289855072464
01/10/2008,0.00000000000000
01/11/2008,-0.00363372093023
01/12/2008,-0.00145878920496
01/01/2009,-0.00146092037984
01/02/2009,0.00219458668617
01/03/2009,0.00072992700730
01/04/2009,0.00218818380744
01/05/2009,0.00218340611354
01/06/2009,0.00072621641249
01/07/2009,0.00000000000000
01/08/2009,0.00290275761974
01/09/2009,-0.00217076700434
01/10/2009,0.00072516316171
01/11/2009,0.00000000000000
01/12/2009,0.00217391304348
01/01/2010,0.00144613159797
01/02/2010,0.00072202166065
01/03/2010,0.00288600288600
01/04/2010,0.00359712230216
01/05/2010,0.00071684587814
01/06/2010,0.00000000000000
01/07/2010,0.00358166189112
01/08/2010,0.00214132762313
01/09/2010,-0.00213675213675
01/10/2010,0.00214132762313
01/11/2010,0.00000000000000
01/12/2010,0.00356125356125
01/01/2011,0.00409936124911
01/02/2011,0.00296442687747
01/03/2011,0.00394088669951
01/04/2011,0.00490677134446
01/05/2011,0.00097656250000
01/06/2011,0.00097560975610
01/07/2011,0.00292397660819
01/08/2011,0.00291545189504
01/09/2011,0.00000000000000
01/10/2011,0.00581395348837
01/11/2011,-0.00096339113680
01/12/2011,0.00385728061716
01/01/2012,0.00288184438040
01/02/2012,0.00383141762452
01/03/2012,0.00477099236641
01/04/2012,0.00474833808167
01/05/2012,0.00000000000000
01/06/2012,0.00189035916824
01/07/2012,0.00094339622641
01/08/2012,0.00377002827521
01/09/2012,0.00000000000000
01/10/2012,0.00000000000000
01/11/2012,-0.00187793427230
01/12/2012,0.00188146754468
01/01/2013,0.00187793427230
01/02/2013,0.00093720712277
01/03/2013,0.00187265917603
01/04/2013,0.00000000000000
01/05/2013,0.00000000000000
01/06/2013,0.00280373831776
01/07/2013,0.00093196644921
01/08/2013,0.00372439478585
01/09/2013,-0.00278293135436
01/10/2013,-0.00186046511628
01/11/2013,-0.00279589934762
01/12/2013,0.00186915887851
01/01/2014,0.00186567164179
01/02/2014,-0.00093109869646
01/03/2014,0.00093196644921
01/04/2014,0.00186219739292
01/05/2014,-0.00092936802974
01/06/2014,0.00093023255814
01/07/2014,-0.00092936802974
01/08/2014,0.00186046511628
01/09/2014,-0.00371402042711
01/10/2014,0.00093196644921
01/11/2014,-0.00186219739292
01/12/2014,0.00000000000000
01/01/2015,-0.00373134328358
01/02/2015,0.00374531835206
01/03/2015,0.00093283582090
01/04/2015,0.00186393289842
01/05/2015,0.00093023255814
01/06/2015,0.00185873605948
01/07/2015,-0.00092764378479
01/08/2015,0.00185701021356
01/09/2015,-0.00370713623726
01/10/2015,0.00186046511628
01/11/2015,-0.00371402042711
01/12/2015,0.00000000000000
01/01/2016,-0.00214352283318
01/02/2016,-0.00200803212851
01/03/2016,0.00201207243461
01/04/2016,-0.00100401606426
01/05/2016,0.00301507537688
01/06/2016,0.00100200400802
01/07/2016,0.00200200200200
01/08/2016,0.00199800199800
01/09/2016,-0.00199401794616
01/10/2016,-0.00099900099900
01/11/2016,-0.00100000000000
01/12/2016,0.00400400400400
01/01/2017,0.00299102691924
01/02/2017,0.00397614314115
01/03/2017,0.00000000000000
01/04/2017,0.00396039603960
01/05/2017,-0.00197238658777
01/06/2017,-0.00098814229249
01/07/2017,0.00098911968348
01/08/2017,0.00296442687747
01/09/2017,-0.00295566502463
01/10/2017,-0.00197628458498
01/11/2017,-0.00198019801980
01/12/2017,0.00396825396825
01/01/2018,0.00296442687747
01/02/2018,0.00000000000000
01/03/2018,0.00295566502463
01/04/2018,0.00098231827112
01/05/2018,0.00294406280667
01/06/2018,0.00195694716243
01/07/2018,0.00292968750000
01/08/2018,0.00389483933788
01/09/2018,-0.00484966052376
01/10/2018,0.00000000000000
01/11/2018,-0.00194931773879
01/12/2018,-0.00097656250000
01/01/2019,0.00097751710655
01/02/2019,0.00097656250000
01/03/2019,0.00292682926829
01/04/2019,0.00194552529183
01/05/2019,0.00000000000000
01/06/2019,0.00097087378641
01/07/2019,0.00000000000000
01/08/2019,0.00387972841901
01/09/2019,-0.00579710144928
01/10/2019,-0.00097181729835
01/11/2019,-0.00194552529183
01/12/2019,0.00194931773879
01/01/2020,0.00097276264591
01/02/2020,-0.00097181729835
01/03/2020,0.00097276264591
01/04/2020,0.00097181729835
01/05/2020,-0.00194174757282
01/06/2020,0.00097276264591
01/07/2020,-0.00194363459670
01/08/2020,0.00292112950341
01/09/2020,-0.00679611650485
01/10/2020,0.00195503421310
01/11/2020,-0.00097560975610
01/12/2020,0.00195312500000
01/01/2021,0.00682261208577
01/02/2021,0.00096805421104
01/03/2021,0.00290135396518
